kind,folder,file,bytes,w,h,ext
image,guneku-website-2023,meta-ppl.jpg,171676,720,480,.jpg
image,guneku-website-2023,mukonge-dance.jpg,133572,720,480,.jpg
image,guneku-website-2023,noatble4.jpg,74884,380,380,.jpg
image,guneku-website-2023,notable1.jpg,82609,380,380,.jpg
image,guneku-website-2023,notable2.jpg,66292,380,380,.jpg
image,guneku-website-2023,notable3.jpg,69424,380,380,.jpg
image,guneku-website-2023,pa-victor-asukwa.jpg,48043,380,380,.jpg
image,guneku-website-2023,palace.jpeg,144372,780,1040,.jpeg
image,guneku-website-2023,placeholder.png,21517,969,939,.png
image,guneku-website-2023,prof-njoh.jpg,106144,720,480,.jpg
image,guneku-website-2023,reps-mecuda.jpeg,146617,720,480,.jpeg
image,guneku-website-2023,roland.jpg,45993,380,380,.jpg
image,guneku-website-2023,SAM.jpg,51167,380,380,.jpg
image,guneku-website-2023,Untitled-1.jpg,137547,720,480,.jpg
image,guneku-website-2023,Untitled.jpeg,171817,1080,809,.jpeg
image,guneku-website-2023,us-flyer.jpeg,629347,1748,2325,.jpeg
image,guneku-website-2023,victor.jpg,37937,380,380,.jpg
image,guneku-website-2023,vita.jpeg,182757,1024,768,.jpeg
image,guneku-website-2023,web1.jpg,999993,1920,1080,.jpg
image,guneku-website-2023,web2.jpg,1027854,1920,1080,.jpg
image,guneku-website-2023,web3.jpg,1077669,1920,1080,.jpg
image,guneku-website-2023,web4.png,371843,578,414,.png
image,guneku-website-2023,web5.png,439903,613,398,.png
image,guneku-website-2023,web6.jpg,728274,1920,1080,.jpg
image,guneku-website-2023,WhatsApp Image 2023-05-13 at 16.49.53.jpeg,170550,1080,607,.jpeg
image,guneku-website-2023/Development projects,147301~1.JPG,79741,600,800,.jpg
image,guneku-website-2023/Development projects,147385746_3905126499531584_4325747395292313059_n.jpg,74009,,,.jpg
image,guneku-website-2023/Development projects,147500989_3905126386198262_6536326892747619990_n.jpg,228160,1600,1200,.jpg
image,guneku-website-2023/Development projects,147726964_3905126462864921_386969384544922454_n.jpg,70323,600,800,.jpg
image,guneku-website-2023/Development projects,147733429_3905126229531611_1459798980830843941_n.jpg,210153,1600,1200,.jpg
image,guneku-website-2023/Development projects,147745501_3905126566198244_4571926246291544758_n.jpg,91921,600,800,.jpg
image,guneku-website-2023/Development projects,147812991_3905126169531617_6361260056187438941_n.jpg,72445,600,800,.jpg
image,guneku-website-2023/Development projects,147826621_3905126286198272_4639584603939373279_n.jpg,58563,600,800,.jpg
image,guneku-website-2023/Development projects,147852976_3905126269531607_1903685053765443540_n.jpg,287598,1600,1200,.jpg
image,guneku-website-2023/Development projects,147936446_3905126522864915_6172649446077414623_n.jpg,72408,600,800,.jpg
image,guneku-website-2023/GUDECA annual general meeting 26 december 2015,10337749_1060573730653556_5689295047033709409_n.jpg,109341,960,720,.jpg
image,guneku-website-2023/GUDECA annual general meeting 26 december 2015,1044527_1060573787320217_2738842336521894475_n.jpg,135622,960,960,.jpg
image,guneku-website-2023/GUDECA annual general meeting 26 december 2015,10599119_1060573750653554_6529514592287823333_n.jpg,135226,960,720,.jpg
image,guneku-website-2023/GUDECA annual general meeting 26 december 2015,12400807_1060573710653558_3856297590476346352_n.jpg,126164,960,720,.jpg
image,guneku-website-2023/GUDECA annual general meeting 26 december 2015,1936538_1060573660653563_7302229951042455654_n.jpg,121475,960,720,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14572796_1272242816153312_3748945159262500424_n.jpg,60015,638,960,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14606367_1272243129486614_1134031129102499889_n.jpg,56021,960,638,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14642227_1272242572820003_1875423322627561026_n.jpg,68449,960,720,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14650233_1272243002819960_2472236327817135457_n.jpg,65449,960,638,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14657286_1272242902819970_3157475707532428091_n.jpg,82107,638,960,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14666081_1272242929486634_5858943597844408438_n.jpg,54103,960,638,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14670633_1272243266153267_7845696118558651722_n.jpg,91073,638,960,.jpg
image,guneku-website-2023/Guneku Family Meeting In Frankfurt Germany,14670825_1272242886153305_268819520708885236_n.jpg,78905,960,638,.jpg
